City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,neiafu,-18.65,-173.9833,30.38,84,40,5.66,TO,1715044179
1,bengkulu,-3.8004,102.2655,25.4,92,100,1.83,ID,1715044066
2,talnakh,69.4865,88.3972,-14.33,97,96,3.08,RU,1715044179
3,bethel,41.3712,-73.414,19.05,82,75,2.06,US,1715043941
4,san patricio,28.017,-97.5169,27.4,80,0,6.22,US,1715044179
5,martinsburg,39.4562,-77.9639,20.31,93,40,1.54,US,1715043959
6,kone,-21.0595,164.8658,28.21,42,1,3.63,NC,1715044179
7,olonkinbyen,70.9221,-8.7187,0.4,97,100,7.92,SJ,1715044179
8,albany,42.6001,-73.9662,17.23,63,100,2.94,US,1715044179
9,west island,-12.1568,96.8225,26.99,83,40,6.17,CC,1715044179
10,san felipe,10.3399,-68.7425,23.47,100,99,1.32,VE,1715044179
11,ribeira grande,38.5167,-28.7,18.21,94,4,7.15,PT,1715044179
12,wladyslawowo,54.7909,18.4009,9.71,90,95,7.46,PL,1715044179
13,iqaluit,63.7506,-68.5145,-10.83,87,13,3.23,CA,1715044094
14,edinburgh of the seven seas,-37.0676,-12.3116,14.17,69,95,10.12,SH,1715044180
15,adamstown,-25.066,-130.1015,21.88,77,97,8.39,PN,1715044180
16,la sarre,48.8002,-79.1996,6.96,74,3,2.15,CA,1715043967
17,iskushuban,10.2837,50.23,27.09,75,25,2.67,SO,1715044180
18,yellowknife,62.456,-114.3525,18.56,49,9,0.89,CA,1715044148
19,sturgis,41.7992,-85.4192,17.89,55,40,2.57,US,1715044066
20,puerto natales,-51.7236,-72.4875,-2.19,90,14,1.38,CL,1715044180
21,port-aux-francais,-49.35,70.2167,7.09,97,100,13.86,TF,1715044180
22,vorgashor,67.5833,63.95,-18.44,100,93,3.23,RU,1715044180
23,nabire,-3.3667,135.4833,27.43,87,92,1.07,ID,1715044180
24,mermoz boabab,14.7065,-17.4758,22.31,87,0,7.54,SN,1715044124
25,carnarvon,-24.8667,113.6333,20.89,53,0,7.82,AU,1715044180
